iter	Passed	Remaining
0	58	34845
1	76	22966
2	95	18946
3	114	17117
4	134	15962
5	153	15244
6	172	14605
7	191	14186
8	210	13852
9	230	13614
10	249	13366
11	269	13186
12	287	13002
13	307	12857
14	326	12724
15	345	12609
16	364	12503
17	383	12393
18	402	12321
19	423	12268
20	441	12173
21	459	12082
22	478	11993
23	496	11920
24	517	11902
25	535	11822
26	554	11760
27	572	11690
28	590	11630
29	609	11579
30	632	11609
31	652	11582
32	671	11531
33	689	11477
34	707	11421
35	726	11381
36	744	11334
37	765	11322
38	784	11287
39	803	11245
40	823	11232
41	842	11187
42	861	11153
43	879	11118
44	899	11099
45	918	11067
46	937	11027
47	955	10991
48	973	10948
49	991	10908
50	1010	10873
51	1029	10847
52	1048	10822
53	1066	10786
54	1085	10758
55	1108	10766
56	1128	10747
57	1148	10728
58	1170	10730
59	1190	10710
60	1209	10685
61	1231	10684
62	1249	10652
63	1268	10621
64	1288	10607
65	1310	10601
66	1330	10584
67	1348	10553
68	1366	10516
69	1385	10486
70	1403	10454
71	1422	10428
72	1445	10433
73	1464	10413
74	1482	10380
75	1500	10347
76	1519	10321
77	1538	10293
78	1558	10278
79	1577	10252
80	1597	10238
81	1622	10247
82	1643	10238
83	1665	10229
84	1685	10212
85	1705	10192
86	1725	10174
87	1749	10181
88	1771	10173
89	1794	10166
90	1815	10152
91	1838	10149
92	1859	10135
93	1879	10115
94	1899	10095
95	1919	10076
96	1937	10045
97	1955	10017
98	1978	10012
99	2001	10005
100	2026	10011
101	2049	10005
102	2073	10003
103	2100	10019
104	2120	9998
105	2141	9979
106	2162	9964
107	2184	9950
108	2206	9938
109	2227	9921
110	2248	9905
111	2269	9890
112	2295	9892
113	2318	9882
114	2340	9870
115	2361	9852
116	2382	9833
117	2401	9809
118	2422	9791
119	2443	9774
120	2474	9793
121	2494	9774
122	2517	9764
123	2541	9755
124	2565	9747
125	2587	9733
126	2610	9721
127	2632	9708
128	2653	9688
129	2673	9666
130	2695	9650
131	2720	9646
132	2741	9627
133	2764	9613
134	2787	9600
135	2813	9598
136	2834	9580
137	2856	9564
138	2878	9545
139	2898	9524
140	2923	9517
141	2945	9499
142	2973	9503
143	2995	9487
144	3017	9468
145	3042	9459
146	3063	9439
147	3084	9419
148	3104	9397
149	3128	9385
150	3149	9366
151	3173	9352
152	3194	9334
153	3218	9322
154	3239	9301
155	3261	9284
156	3283	9264
157	3304	9245
158	3324	9219
159	3345	9199
160	3367	9182
161	3390	9167
162	3415	9155
163	3434	9131
164	3456	9112
165	3476	9088
166	3496	9065
167	3516	9042
168	3535	9016
169	3553	8988
170	3572	8961
171	3591	8935
172	3610	8911
173	3628	8884
174	3648	8861
175	3668	8836
176	3689	8818
177	3709	8794
178	3732	8778
179	3751	8754
180	3771	8730
181	3790	8704
182	3808	8677
183	3826	8651
184	3846	8627
185	3867	8607
186	3888	8586
187	3907	8563
188	3927	8541
189	3947	8517
190	3966	8492
191	3986	8470
192	4003	8443
193	4028	8431
194	4048	8407
195	4068	8387
196	4094	8375
197	4112	8350
198	4134	8330
199	4155	8311
200	4180	8297
201	4203	8281
202	4222	8258
203	4245	8241
204	4266	8220
205	4286	8197
206	4307	8177
207	4328	8157
208	4349	8136
209	4370	8115
210	4390	8094
211	4411	8074
212	4432	8054
213	4451	8029
214	4472	8009
215	4492	7986
216	4511	7963
217	4532	7942
218	4552	7919
219	4571	7896
220	4594	7880
221	4615	7858
222	4637	7840
223	4659	7821
224	4678	7797
225	4699	7777
226	4721	7757
227	4740	7735
228	4763	7717
229	4783	7694
230	4801	7669
231	4820	7645
232	4838	7621
233	4856	7595
234	4875	7572
235	4896	7551
236	4916	7530
237	4934	7505
238	4957	7488
239	4978	7467
240	4997	7444
241	5016	7421
242	5035	7397
243	5054	7375
244	5073	7351
245	5094	7331
246	5116	7312
247	5137	7292
248	5157	7270
249	5176	7247
250	5198	7228
251	5218	7205
252	5238	7184
253	5257	7161
254	5275	7137
255	5298	7120
256	5322	7103
257	5340	7079
258	5359	7056
259	5377	7032
260	5397	7010
261	5416	6987
262	5435	6964
263	5454	6942
264	5475	6922
265	5494	6899
266	5514	6877
267	5535	6857
268	5553	6833
269	5572	6811
270	5590	6786
271	5609	6764
272	5630	6743
273	5650	6722
274	5669	6700
275	5687	6677
276	5706	6653
277	5724	6630
278	5744	6609
279	5763	6586
280	5782	6564
281	5801	6542
282	5820	6519
283	5838	6496
284	5856	6472
285	5874	6450
286	5892	6426
287	5910	6403
288	5927	6379
289	5947	6357
290	5966	6335
291	5986	6314
292	6007	6294
293	6034	6281
294	6056	6262
295	6079	6244
296	6101	6224
297	6120	6202
298	6139	6180
299	6158	6158
300	6178	6137
301	6199	6117
302	6221	6098
303	6245	6081
304	6266	6061
305	6288	6042
306	6310	6023
307	6332	6003
308	6353	5983
309	6376	5965
310	6397	5945
311	6417	5923
312	6436	5901
313	6455	5879
314	6474	5857
315	6498	5840
316	6521	5822
317	6543	5802
318	6563	5781
319	6582	5759
320	6605	5740
321	6624	5719
322	6644	5698
323	6664	5677
324	6683	5655
325	6702	5633
326	6722	5612
327	6742	5591
328	6764	5572
329	6784	5550
330	6805	5530
331	6823	5508
332	6842	5486
333	6861	5464
334	6882	5444
335	6903	5424
336	6923	5403
337	6943	5381
338	6961	5360
339	6979	5337
340	6998	5315
341	7017	5293
342	7036	5271
343	7053	5249
344	7073	5228
345	7093	5207
346	7116	5188
347	7138	5169
348	7158	5148
349	7178	5127
350	7197	5105
351	7216	5084
352	7237	5064
353	7258	5043
354	7278	5023
355	7300	5003
356	7321	4983
357	7346	4965
358	7369	4947
359	7389	4926
360	7410	4906
361	7428	4884
362	7446	4861
363	7464	4839
364	7481	4817
365	7500	4795
366	7517	4772
367	7538	4752
368	7556	4730
369	7577	4710
370	7597	4689
371	7614	4667
372	7633	4645
373	7653	4624
374	7671	4602
375	7689	4580
376	7708	4559
377	7730	4540
378	7753	4521
379	7775	4501
380	7797	4481
381	7818	4461
382	7840	4442
383	7861	4422
384	7881	4401
385	7902	4381
386	7924	4361
387	7944	4340
388	7963	4319
389	7982	4298
390	8000	4276
391	8021	4256
392	8040	4235
393	8062	4215
394	8082	4194
395	8106	4175
396	8127	4155
397	8148	4135
398	8169	4115
399	8190	4095
400	8210	4074
401	8232	4054
402	8253	4034
403	8277	4015
404	8298	3995
405	8318	3974
406	8338	3954
407	8357	3932
408	8375	3911
409	8394	3890
410	8414	3869
411	8435	3849
412	8457	3829
413	8476	3808
414	8501	3789
415	8524	3770
416	8544	3749
417	8566	3730
418	8589	3710
419	8610	3690
420	8630	3669
421	8652	3649
422	8671	3628
423	8690	3607
424	8709	3586
425	8728	3565
426	8746	3543
427	8765	3522
428	8785	3501
429	8804	3480
430	8823	3459
431	8843	3439
432	8862	3418
433	8881	3396
434	8899	3375
435	8918	3354
436	8940	3334
437	8958	3313
438	8979	3293
439	8997	3271
440	9015	3250
441	9034	3229
442	9052	3208
443	9072	3187
444	9090	3166
445	9111	3146
446	9130	3125
447	9148	3104
448	9168	3083
449	9187	3062
450	9208	3042
451	9227	3021
452	9249	3001
453	9271	2981
454	9291	2960
455	9313	2941
456	9332	2920
457	9352	2899
458	9372	2879
459	9390	2858
460	9410	2837
461	9431	2817
462	9452	2796
463	9472	2776
464	9493	2756
465	9511	2735
466	9529	2713
467	9549	2693
468	9569	2673
469	9591	2652
470	9613	2632
471	9635	2613
472	9676	2598
473	9703	2579
474	9727	2559
475	9755	2541
476	9777	2521
477	9798	2500
478	9818	2480
479	9838	2459
480	9858	2439
481	9880	2418
482	9899	2398
483	9919	2377
484	9940	2357
485	9962	2336
486	9982	2316
487	10003	2295
488	10024	2275
489	10043	2254
490	10064	2234
491	10083	2213
492	10103	2192
493	10121	2171
494	10139	2150
495	10157	2129
496	10176	2108
497	10195	2088
498	10213	2067
499	10232	2046
500	10250	2025
501	10269	2004
502	10288	1984
503	10309	1963
504	10330	1943
505	10350	1922
506	10370	1902
507	10391	1881
508	10411	1861
509	10435	1841
510	10458	1821
511	10480	1801
512	10501	1780
513	10522	1760
514	10542	1740
515	10564	1719
516	10585	1699
517	10606	1679
518	10628	1658
519	10651	1638
520	10672	1618
521	10692	1597
522	10713	1577
523	10733	1556
524	10756	1536
525	10776	1516
526	10798	1495
527	10819	1475
528	10842	1455
529	10865	1435
530	10884	1414
531	10907	1394
532	10929	1373
533	10948	1353
534	10967	1332
535	10986	1311
536	11005	1291
537	11024	1270
538	11045	1250
539	11065	1229
540	11085	1208
541	11103	1188
542	11122	1167
543	11140	1146
544	11159	1126
545	11179	1105
546	11199	1085
547	11220	1064
548	11242	1044
549	11266	1024
550	11287	1003
551	11307	983
552	11327	962
553	11347	942
554	11367	921
555	11388	901
556	11409	880
557	11433	860
558	11455	840
559	11476	819
560	11495	799
561	11518	778
562	11536	758
563	11557	737
564	11580	717
565	11598	696
566	11621	676
567	11639	655
568	11660	635
569	11684	614
570	11704	594
571	11726	574
572	11745	553
573	11764	532
574	11783	512
575	11802	491
576	11822	471
577	11848	450
578	11866	430
579	11889	409
580	11909	389
581	11928	368
582	11947	348
583	11965	327
584	11984	307
585	12004	286
586	12025	266
587	12049	245
588	12068	225
589	12092	204
590	12113	184
591	12133	163
592	12154	143
593	12173	122
594	12191	102
595	12212	81
596	12233	61
597	12252	40
598	12272	20
599	12292	0
